,datetime,tempmin,temp,tempmax
0,2024-08-19,18.9,21.0,23.7
1,2024-08-20,15.7,18.7,22.2
2,2024-08-21,14.3,18.7,23.4
3,2024-08-22,14.2,19.1,23.3
4,2024-08-23,16.0,20.8,24.5
5,2024-08-24,18.4,21.5,25.0
6,2024-08-25,18.4,21.8,25.0
7,2024-08-26,19.8,21.5,23.8
